algId,DIM,funcId,worst recorded,worst reached,best reached,mean reached,median reached,runs,succ,budget
"(1+(λ,λ)) GA",64,7,28,62,64,63.27272727272727,63,11,5,409600
"(1+(λ,λ)) GA",100,7,42,93,99,96.45454545454545,96,11,1,1000000
"(1+(λ,λ)) GA",16,8,4,9,9,9,9,11,11,285
"(1+(λ,λ)) GA",64,8,16,33,33,33,33,11,11,4532
"(1+(λ,λ)) GA",100,8,21,51,51,51,51,11,11,5291
"(1+(λ,λ)) GA",16,9,4,16,16,16,16,11,11,1452
"(1+(λ,λ)) GA",64,9,28,64,64,64,64,11,11,44187
"(1+(λ,λ)) GA",100,9,42,100,100,100,100,11,11,164807
(1+1) EA_>0,16,1,5,16,16,16,16,11,11,277
(1+1) EA_>0,64,1,27,64,64,64,64,11,11,833
(1+1) EA_>0,100,1,37,100,100,100,100,11,11,1144
(1+1) EA_>0,16,10,1,15,15,15,15,11,11,25600
(1+1) EA_>0,64,10,20,48,63,56.63636363636363,58,11,1,409600
(1+1) EA_>0,100,10,47,84,94,88.54545454545455,89,11,2,1000000
(1+1) EA_>0,16,11,0,8,8,8,8,11,11,124
(1+1) EA_>0,64,11,0,32,32,32,32,11,11,1204
(1+1) EA_>0,100,11,0,50,50,50,50,11,11,2410
(1+1) EA_>0,16,12,0,14,14,14,14,11,11,181
(1+1) EA_>0,64,12,0,57,57,57,57,11,11,2641
(1+1) EA_>0,100,12,0,90,90,90,90,11,11,5737
(1+1) EA_>0,16,13,0,5,5,5,5,11,11,69
(1+1) EA_>0,64,13,0,21,21,21,21,11,11,789
(1+1) EA_>0,100,13,0,33,33,33,33,11,11,1829
(1+1) EA_>0,16,14,0,16,16,16,16,11,11,22614
(1+1) EA_>0,64,14,0,11,61,41.54545454545455,43,11,1,409600
(1+1) EA_>0,100,14,0,3,100,36.90909090909091,35,11,1,1000000
(1+1) EA_>0,16,15,1,9,9,9,9,11,11,384
(1+1) EA_>0,64,15,1,33,33,33,33,11,11,4275
(1+1) EA_>0,100,15,1,51,51,51,51,11,11,8722
(1+1) EA_>0,16,16,0,16,16,16,16,11,11,443
(1+1) EA_>0,64,16,0,64,64,64,64,11,11,5199
(1+1) EA_>0,100,16,0,100,100,100,100,11,11,12869
(1+1) EA_>0,16,17,0,16,16,16,16,11,11,1472
(1+1) EA_>0,64,17,1,64,64,64,64,11,11,25456
(1+1) EA_>0,100,17,0,100,100,100,100,11,11,57937
(1+1) EA_>0,16,18,0.666667,4,5.33333,5.004327272727273,5.33333,11,7,25600
(1+1) EA_>0,64,18,0.707182,3.96899,4.65455,4.288331818181819,4.30252,11,2,409600
(1+1) EA_>0,100,18,0.761499,3.80518,4.91159,4.225,4.1876,11,1,1000000
(1+1) EA_>0,16,2,0,16,16,16,16,11,11,180
(1+1) EA_>0,64,2,0,64,64,64,64,11,11,2609
(1+1) EA_>0,100,2,0,100,100,100,100,11,11,7831
(1+1) EA_>0,16,22,-260,8,8,8,8,11,11,25600
(1+1) EA_>0,64,22,-2968,26,30,28,28,11,3,409600
(1+1) EA_>0,100,22,-6939,42,48,44.90909090909091,44,11,1,1000000
(1+1) EA_>0,16,23,-96,4,4,4,4,11,11,1727
(1+1) EA_>0,64,23,-702,8,8,8,8,11,11,160907
(1+1) EA_>0,100,23,-1722,10,10,10,10,11,11,338798
(1+1) EA_>0,16,3,28,136,136,136,136,11,11,102
(1+1) EA_>0,64,3,815,2080,2080,2080,2080,11,11,580
(1+1) EA_>0,100,3,2294,5050,5050,5050,5050,11,11,1076
(1+1) EA_>0,16,4,2,8,8,8,8,11,11,71
